Summary,Description,Priority,Labels,Status
[k5] K5 — Keyword live smoke script,Task ID: k5 | Workstream: keywords_pr | Canvas priority: P1 | Files: scripts/spike/dataforseo_keyword.py | Source: Yanki DataForSEO roadmap canvas,High,"yanki,keywords_pr,k5",Done
[k6] K6 — PR #2 Keywords → DataForSEO (expand + rank-check),Task ID: k6 | Workstream: keywords_pr | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,keywords_pr,k6",In Progress
[k7] K7 — Volume metrics via DataForSEO search_volume API (not direct Google Ads),Task ID: k7 | Workstream: keywords_pr | Canvas priority: P0 | Files: keyword/metrics/dataforseo.py | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,keywords_pr,k7",Done
[k8] K8 — Fix rank-check multi-query timeout (parallel + Next.js proxyTimeout),"Task ID: k8 | Workstream: keywords_pr | Canvas priority: P1 | Files: rank_check.py, next.config.ts | Source: Yanki DataForSEO roadmap canvas",High,"yanki,keywords_pr,k8",To Do
[b0] B0 — Backlinks API spike (endpoint + pagination + grand total),Task ID: b0 | Workstream: backlinks_pr | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,backlinks_pr,b0",To Do
[b1] B1 — Backlinks DataForSEO adapter implementation,Task ID: b1 | Workstream: backlinks_pr | Canvas priority: P0 | Files: backlink/ | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,backlinks_pr,b1",To Do
[b2] B2 — Coverage / measurability rules (partial vs complete vs empty),Task ID: b2 | Workstream: backlinks_pr | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,backlinks_pr,b2",To Do
[b3] B3 — Registry + config + env + preflight for BACKLINK_VENDOR=dataforseo,Task ID: b3 | Workstream: backlinks_pr | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,backlinks_pr,b3",To Do
[b4] B4 — Backlinks live smoke — single domain refresh,Task ID: b4 | Workstream: backlinks_pr | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,"yanki,backlinks_pr,b4",To Do
[b5] B5 — PR #3 Backlinks → DataForSEO,Task ID: b5 | Workstream: backlinks_pr | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,backlinks_pr,b5",To Do
