Work item id,Work type,Summary,Description,Priority,Status,Labels,Parent
97,Task,[mod-2] Coupling map: pipeline step → module → vendor (update touchpoint doc),"Task ID: mod-2 | Workstream: standalone | Canvas priority: P0 | Files: docs/standalone-modules-plan.md, dataforseo-touchpoint-map.md | Source: Yanki DataForSEO roadmap canvas",Highest,To Do,"yanki,standalone,mod-2",-11
98,Task,[mod-3] POST /api/v1/serp/runs — standalone SERP visibility (DataForSEO adapter),"Task ID: mod-3 | Workstream: standalone | Canvas priority: P1 | Files: pipeline/serp_visibility.py, serp/registry.py | Source: Yanki DataForSEO roadmap canvas",High,To Do,"yanki,standalone,mod-3",-11
99,Task,[mod-4] POST /api/v1/ai-visibility/runs — GEO execute+audit without KYC/discovery,"Task ID: mod-4 | Workstream: standalone | Canvas priority: P1 | Files: pipeline/execute_measured.py, llm_analytics_measured.py | Source: Yanki DataForSEO roadmap canvas",High,To Do,"yanki,standalone,mod-4",-11
100,Task,[mod-5] POST/GET /api/v1/kyc/profiles — brand context CRUD decoupled from analysis_id,"Task ID: mod-5 | Workstream: standalone | Canvas priority: P1 | Files: pipeline/kyc.py, api/routes.py | Source: Yanki DataForSEO roadmap canvas",High,To Do,"yanki,standalone,mod-5",-11
101,Task,"[mod-6] Worker job types: serp_run, geo_run, kyc_extract — separate from analysis bundle","Task ID: mod-6 | Workstream: standalone | Canvas priority: P1 | Files: worker, pipeline/runner.py | Source: Yanki DataForSEO roadmap canvas",High,To Do,"yanki,standalone,mod-6",-11
102,Task,[mod-7] unlinked_mentions → explicit geo_run_ids + serp_run_ids (opt-in join only),Task ID: mod-7 | Workstream: standalone | Canvas priority: P2 | Files: backlink/gap.py | Source: Yanki DataForSEO roadmap canvas,Medium,To Do,"yanki,standalone,mod-7",-11
103,Task,"[mod-8] POST /analyses → thin orchestrator with per-step flags { kyc, geo, serp }","Task ID: mod-8 | Workstream: standalone | Canvas priority: P2 | Files: api/routes.py, pipeline/runner.py | Source: Yanki DataForSEO roadmap canvas",Medium,To Do,"yanki,standalone,mod-8",-11
104,Task,[mod-9] Frontend module-first nav; guided wizard composes standalone APIs client-side,Task ID: mod-9 | Workstream: standalone | Canvas priority: P2 | Files: frontend/app/ | Source: Yanki DataForSEO roadmap canvas,Medium,To Do,"yanki,standalone,mod-9",-11
105,Task,[mod-10] Backlinks DataForSEO adapter — separate from SERP swap (BACKLINK_VENDOR=dataforseo),"Task ID: mod-10 | Workstream: standalone | Canvas priority: P1 | Files: backlink/registry.py, backlink/mock.py | Source: Yanki DataForSEO roadmap canvas",High,To Do,"yanki,standalone,mod-10",-11
106,Task,[mod-11] POST /site-audit/runs + worker deploy topology,"Task ID: mod-11 | Workstream: standalone | Canvas priority: P2 | Files: site_audit/, deploy/ | Source: Yanki DataForSEO roadmap canvas",Medium,To Do,"yanki,standalone,mod-11",-11
107,Task,[mod-12] Deprecation plan: analysis_id as sole entry point → bundle optional,Task ID: mod-12 | Workstream: standalone | Canvas priority: P2 | Files: docs/standalone-modules-plan.md | Source: Yanki DataForSEO roadmap canvas,Medium,To Do,"yanki,standalone,mod-12",-11
108,Task,[k0] K0 — Plan onayı (keyword + backlinks ayrı PR stratejisi),Task ID: k0 | Workstream: keywords_pr | Canvas priority: P0 | Files: Canvas: dataforseo-keyword-backlink-plan | Source: Yanki DataForSEO roadmap canvas,Highest,Done,"yanki,keywords_pr,k0",-12
109,Task,[k1] K1 — Keyword provider wiring (SERP_PROVIDER shared registry),Task ID: k1 | Workstream: keywords_pr | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,Done,"yanki,keywords_pr,k1",-12
110,Task,[k2] K2 — Expand SERP-agnostic (SerpKeywordSource),Task ID: k2 | Workstream: keywords_pr | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,Done,"yanki,keywords_pr,k2",-12
111,Task,[k3] K3 — Rank check same SERP source,Task ID: k3 | Workstream: keywords_pr | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,Done,"yanki,keywords_pr,k3",-12
112,Task,[k4] K4 — Config / env / preflight (check_env),Task ID: k4 | Workstream: keywords_pr | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,Done,"yanki,keywords_pr,k4",-12
113,Task,[k5] K5 — Keyword live smoke script,Task ID: k5 | Workstream: keywords_pr | Canvas priority: P1 | Files: scripts/spike/dataforseo_keyword.py | Source: Yanki DataForSEO roadmap canvas,High,Done,"yanki,keywords_pr,k5",-12
114,Task,[k6] K6 — PR #2 Keywords → DataForSEO (expand + rank-check),Task ID: k6 | Workstream: keywords_pr | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,In Progress,"yanki,keywords_pr,k6",-12
115,Task,[k7] K7 — Volume metrics via DataForSEO search_volume API (not direct Google Ads),Task ID: k7 | Workstream: keywords_pr | Canvas priority: P0 | Files: keyword/metrics/dataforseo.py | Source: Yanki DataForSEO roadmap canvas,Highest,Done,"yanki,keywords_pr,k7",-12
116,Task,[k8] K8 — Fix rank-check multi-query timeout (parallel + Next.js proxyTimeout),"Task ID: k8 | Workstream: keywords_pr | Canvas priority: P1 | Files: rank_check.py, next.config.ts | Source: Yanki DataForSEO roadmap canvas",High,Done,"yanki,keywords_pr,k8",-12
117,Task,[b0] B0 — Backlinks API spike (endpoint + pagination + grand total),Task ID: b0 | Workstream: backlinks_pr | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,To Do,"yanki,backlinks_pr,b0",-13
118,Task,[b1] B1 — Backlinks DataForSEO adapter implementation,Task ID: b1 | Workstream: backlinks_pr | Canvas priority: P0 | Files: backlink/ | Source: Yanki DataForSEO roadmap canvas,Highest,To Do,"yanki,backlinks_pr,b1",-13
119,Task,[b2] B2 — Coverage / measurability rules (partial vs complete vs empty),Task ID: b2 | Workstream: backlinks_pr | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,To Do,"yanki,backlinks_pr,b2",-13
120,Task,[b3] B3 — Registry + config + env + preflight for BACKLINK_VENDOR=dataforseo,Task ID: b3 | Workstream: backlinks_pr | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,To Do,"yanki,backlinks_pr,b3",-13
121,Task,[b4] B4 — Backlinks live smoke — single domain refresh,Task ID: b4 | Workstream: backlinks_pr | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,To Do,"yanki,backlinks_pr,b4",-13
122,Task,[b5] B5 — PR #3 Backlinks → DataForSEO,Task ID: b5 | Workstream: backlinks_pr | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,To Do,"yanki,backlinks_pr,b5",-13
