Summary,Issue Type,Description,Priority,Labels,Epic Name,Status
[mod-4] POST /api/v1/ai-visibility/runs — GEO execute+audit without KYC/discovery,Task,"Task ID: mod-4 | Workstream: standalone | Canvas priority: P1 | Files: pipeline/execute_measured.py, llm_analytics_measured.py | Source: Yanki DataForSEO roadmap canvas",High,"yanki,standalone,mod-4",Standalone Modules,To Do
[mod-5] POST/GET /api/v1/kyc/profiles — brand context CRUD decoupled from analysis_id,Task,"Task ID: mod-5 | Workstream: standalone | Canvas priority: P1 | Files: pipeline/kyc.py, api/routes.py | Source: Yanki DataForSEO roadmap canvas",High,"yanki,standalone,mod-5",Standalone Modules,To Do
"[mod-6] Worker job types: serp_run, geo_run, kyc_extract — separate from analysis bundle",Task,"Task ID: mod-6 | Workstream: standalone | Canvas priority: P1 | Files: worker, pipeline/runner.py | Source: Yanki DataForSEO roadmap canvas",High,"yanki,standalone,mod-6",Standalone Modules,To Do
[mod-7] unlinked_mentions → explicit geo_run_ids + serp_run_ids (opt-in join only),Task,Task ID: mod-7 | Workstream: standalone | Canvas priority: P2 | Files: backlink/gap.py | Source: Yanki DataForSEO roadmap canvas,Medium,"yanki,standalone,mod-7",Standalone Modules,To Do
"[mod-8] POST /analyses → thin orchestrator with per-step flags { kyc, geo, serp }",Task,"Task ID: mod-8 | Workstream: standalone | Canvas priority: P2 | Files: api/routes.py, pipeline/runner.py | Source: Yanki DataForSEO roadmap canvas",Medium,"yanki,standalone,mod-8",Standalone Modules,To Do
[mod-9] Frontend module-first nav; guided wizard composes standalone APIs client-side,Task,Task ID: mod-9 | Workstream: standalone | Canvas priority: P2 | Files: frontend/app/ | Source: Yanki DataForSEO roadmap canvas,Medium,"yanki,standalone,mod-9",Standalone Modules,To Do
[mod-10] Backlinks DataForSEO adapter — separate from SERP swap (BACKLINK_VENDOR=dataforseo),Task,"Task ID: mod-10 | Workstream: standalone | Canvas priority: P1 | Files: backlink/registry.py, backlink/mock.py | Source: Yanki DataForSEO roadmap canvas",High,"yanki,standalone,mod-10",Standalone Modules,To Do
[mod-11] POST /site-audit/runs + worker deploy topology,Task,"Task ID: mod-11 | Workstream: standalone | Canvas priority: P2 | Files: site_audit/, deploy/ | Source: Yanki DataForSEO roadmap canvas",Medium,"yanki,standalone,mod-11",Standalone Modules,To Do
[mod-12] Deprecation plan: analysis_id as sole entry point → bundle optional,Task,Task ID: mod-12 | Workstream: standalone | Canvas priority: P2 | Files: docs/standalone-modules-plan.md | Source: Yanki DataForSEO roadmap canvas,Medium,"yanki,standalone,mod-12",Standalone Modules,To Do
[k0] K0 — Plan onayı (keyword + backlinks ayrı PR stratejisi),Task,Task ID: k0 | Workstream: keywords_pr | Canvas priority: P0 | Files: Canvas: dataforseo-keyword-backlink-plan | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,keywords_pr,k0",PR #2 — Keywords DataForSEO,Done
[k1] K1 — Keyword provider wiring (SERP_PROVIDER shared registry),Task,Task ID: k1 | Workstream: keywords_pr | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,keywords_pr,k1",PR #2 — Keywords DataForSEO,Done
[k2] K2 — Expand SERP-agnostic (SerpKeywordSource),Task,Task ID: k2 | Workstream: keywords_pr | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,keywords_pr,k2",PR #2 — Keywords DataForSEO,Done
[k3] K3 — Rank check same SERP source,Task,Task ID: k3 | Workstream: keywords_pr | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,keywords_pr,k3",PR #2 — Keywords DataForSEO,Done
[k4] K4 — Config / env / preflight (check_env),Task,Task ID: k4 | Workstream: keywords_pr | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,keywords_pr,k4",PR #2 — Keywords DataForSEO,Done
[k5] K5 — Keyword live smoke script,Task,Task ID: k5 | Workstream: keywords_pr | Canvas priority: P1 | Files: scripts/spike/dataforseo_keyword.py | Source: Yanki DataForSEO roadmap canvas,High,"yanki,keywords_pr,k5",PR #2 — Keywords DataForSEO,Done
[k6] K6 — PR #2 Keywords → DataForSEO (expand + rank-check),Task,Task ID: k6 | Workstream: keywords_pr | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,keywords_pr,k6",PR #2 — Keywords DataForSEO,In Progress
[k7] K7 — Volume metrics via DataForSEO search_volume API (not direct Google Ads),Task,Task ID: k7 | Workstream: keywords_pr | Canvas priority: P0 | Files: keyword/metrics/dataforseo.py | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,keywords_pr,k7",PR #2 — Keywords DataForSEO,Done
[k8] K8 — Fix rank-check multi-query timeout (parallel + Next.js proxyTimeout),Task,"Task ID: k8 | Workstream: keywords_pr | Canvas priority: P1 | Files: rank_check.py, next.config.ts | Source: Yanki DataForSEO roadmap canvas",High,"yanki,keywords_pr,k8",PR #2 — Keywords DataForSEO,To Do
[b0] B0 — Backlinks API spike (endpoint + pagination + grand total),Task,Task ID: b0 | Workstream: backlinks_pr | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,backlinks_pr,b0",PR #3 — Backlinks DataForSEO,To Do
[b1] B1 — Backlinks DataForSEO adapter implementation,Task,Task ID: b1 | Workstream: backlinks_pr | Canvas priority: P0 | Files: backlink/ | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,backlinks_pr,b1",PR #3 — Backlinks DataForSEO,To Do
[b2] B2 — Coverage / measurability rules (partial vs complete vs empty),Task,Task ID: b2 | Workstream: backlinks_pr | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,backlinks_pr,b2",PR #3 — Backlinks DataForSEO,To Do
[b3] B3 — Registry + config + env + preflight for BACKLINK_VENDOR=dataforseo,Task,Task ID: b3 | Workstream: backlinks_pr | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,backlinks_pr,b3",PR #3 — Backlinks DataForSEO,To Do
[b4] B4 — Backlinks live smoke — single domain refresh,Task,Task ID: b4 | Workstream: backlinks_pr | Canvas priority: P1 | Source: Yanki DataForSEO roadmap canvas,High,"yanki,backlinks_pr,b4",PR #3 — Backlinks DataForSEO,To Do
[b5] B5 — PR #3 Backlinks → DataForSEO,Task,Task ID: b5 | Workstream: backlinks_pr | Canvas priority: P0 | Source: Yanki DataForSEO roadmap canvas,Highest,"yanki,backlinks_pr,b5",PR #3 — Backlinks DataForSEO,To Do
